Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Games by Primary,Games by Secondary,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,Tournament,Ruleset,Date
Aaron Hayden,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,4,2,0,6,26.5,24.3,66.67%,6,,66.67%,26.50,24.30,66.67%,66.67%,26.50,Yes,BAO,ITC,28-Jul
Aaron Hayden,Renegade Guard,1,,1,1,Renegade Guard,1,1,4,2,0,6,26.5,24.3,66.67%,0,6,66.67%,26.50,24.30,,66.67%,,Yes,BAO,ITC,28-Jul
Aaron Hayden,Death Guard,1,,1,1,Death Guard,1,1,4,2,0,6,26.5,24.3,66.67%,0,6,66.67%,26.50,24.30,,66.67%,,Yes,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,1,,1,Alaitoc,1,1,2,3,1,6,18.17,21.83,41.67%,6,,41.67%,18.17,21.83,41.67%,41.67%,18.17,No,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,,1,,Alaitoc,1,,2,3,1,6,18.17,21.83,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,,1,,Alaitoc,1,,2,3,1,6,18.17,21.83,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Aaron Weisman,Imperial Knights,1,1,,1,House Taranis,1,1,3,3,0,6,25.17,22.67,50.00%,6,,50.00%,25.17,22.67,50.00%,50.00%,25.17,No,BAO,ITC,28-Jul
Aaron Weisman,Astra Militarum,1,,1,1,Cadian,1,1,3,3,0,6,25.17,22.67,50.00%,0,6,50.00%,25.17,22.67,,50.00%,,No,BAO,ITC,28-Jul
Aaron Weisman,Blood Angels,1,,1,1,Blood Angels,1,1,3,3,0,6,25.17,22.67,50.00%,0,6,50.00%,25.17,22.67,,50.00%,,No,BAO,ITC,28-Jul
Aaron Wisch,Dark Angels,1,1,,1,Dark Angels,1,1,4,2,0,6,26.83,19.83,66.67%,6,,66.67%,26.83,19.83,66.67%,66.67%,26.83,Yes,BAO,ITC,28-Jul
Aaron Wisch,Dark Angels,1,,1,,Dark Angels,1,,4,2,0,6,26.83,19.83,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Aaron Wisch,Blood Angels,1,,1,1,Blood Angels,1,1,4,2,0,6,26.83,19.83,66.67%,0,6,66.67%,26.83,19.83,,66.67%,,Yes,BAO,ITC,28-Jul
Adam Dye,Thousand Sons,1,1,,1,Thousand Sons,1,1,3,3,0,6,22.5,26,50.00%,6,,50.00%,22.50,26.00,50.00%,50.00%,22.50,No,BAO,ITC,28-Jul
Adam Dye,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,3,3,0,6,22.5,26,50.00%,0,6,50.00%,22.50,26.00,,50.00%,,No,BAO,ITC,28-Jul
Adam Dye,Renegade Knights,1,,1,1,Renegade Knights,1,1,3,3,0,6,22.5,26,50.00%,0,6,50.00%,22.50,26.00,,50.00%,,No,BAO,ITC,28-Jul
Adam Kinmont,Ynnari,1,1,,1,Ynnari,1,1,1,3,0,4,17.75,17.25,25.00%,4,,25.00%,17.75,17.25,25.00%,25.00%,17.75,No,BAO,ITC,28-Jul
Adam Kinmont,Neutral Fortification,1,,1,1,Neutral,1,1,1,3,0,4,17.75,17.25,25.00%,0,4,25.00%,17.75,17.25,,25.00%,,No,BAO,ITC,28-Jul
Adam Kinmont,Asuryani,1,,1,1,Ulthwe,1,1,1,3,0,4,17.75,17.25,25.00%,0,4,25.00%,17.75,17.25,,25.00%,,No,BAO,ITC,28-Jul
Adam Solis,Imperial Knights,1,1,,1,House Terryn,1,1,3,3,0,6,24.83,23,50.00%,6,,50.00%,24.83,23.00,50.00%,50.00%,24.83,No,BAO,ITC,28-Jul
